what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314340761234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314340761234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314340761328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341005515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341207406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341207406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341207531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341687015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341763796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341862500
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1314341862515
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1314341862906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341864562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341866500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314341889984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342056421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342120593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342122781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342123328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342127078
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342127750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342127750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342127890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342128968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1314342562921
